testype	name1	name2	ceiling1	floor1	ceiling2	floor2	meandate1	meandate2	acc1	acc2	alienacc1	alienacc2	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1
crossAB	SubjMan-woman_randomA	SubjSFOther_randomB					1976.62	1970.695	0.755	0.92	0.455	0.395	-0.338240828138	-0.412784928667	-0.263696727609	0.4125	0.525	0.3
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	SubjSFOther_randomA					1976.62	1970.34	0.785	0.915	0.475	0.445	-0.140103102371	-0.0377213236108	-0.242484881132	0.39	0.47	0.31
self2	SubjSFOther_randomA	SubjSFOther_randomB					1970.34	1970.695	0.915	0.92	0.92	0.94	1.77590417939	1.81155077269	1.74025758609	-0.0125	-0.02	-0.005
crossAB	SubjMan-woman_randomA	Biographical_randomB					1976.62	1988.595	0.755	0.805	0.455	0.485	-0.24632570251	-0.132726225286	-0.359925179735	0.31	0.32	0.3
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	Biographical_randomA					1976.62	1988.58	0.785	0.805	0.435	0.38	-0.36205099461	-0.315897965325	-0.408204023894	0.3875	0.425	0.35
self2	Biographical_randomA	Biographical_randomB					1988.58	1988.595	0.805	0.805	0.875	0.865	1.20062209035	1.13418233905	1.26706184164	-0.065	-0.06	-0.07
crossAB	SubjMan-woman_randomA	Suspense_randomB					1976.62	2003.055	0.755	0.835	0.42	0.37	-0.306954843976	-0.430627571748	-0.183282116204	0.4	0.465	0.335
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	Suspense_randomA					1976.62	2003.12	0.785	0.81	0.445	0.435	0.00709545527106	-0.0694506812017	0.0836415917438	0.3575	0.375	0.34
self2	Suspense_randomA	Suspense_randomB					2003.12	2003.055	0.81	0.835	0.895	0.92	1.48448913955	1.52148859958	1.44748967953	-0.085	-0.085	-0.085
crossAB	SubjMan-woman_randomA	Fantasy_randomB					1976.62	1995.81	0.755	0.865	0.475	0.375	-0.284052171033	-0.317382973236	-0.250721368831	0.385	0.49	0.28
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	Fantasy_randomA					1976.62	1995.69	0.785	0.865	0.485	0.41	-0.22611177216	-0.29728518067	-0.15493836365	0.3775	0.455	0.3
