testype	name1	name2	ceiling1	floor1	ceiling2	floor2	meandate1	meandate2	acc1	acc2	alienacc1	alienacc2	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1
crossAB	SubjMan-woman_randomA	SubjMan-womanB_randomB					1976.62	1976.08	0.755	0.745	0.715	0.68	0.887826983041	0.909775587184	0.865878378898	0.0525	0.065	0.04
self1	SubjMan-woman_randomA	SubjMan-woman_randomB					1976.62	1976.62	0.755	0.785	0.84	0.83	1.05572913047	1.04471203477	1.06674622617	-0.065	-0.045	-0.085
crossBA	SubjMan-woman_randomB	SubjMan-womanB_randomA					1976.62	1976.215	0.785	0.7	0.725	0.64	0.873719864782	0.784842484495	0.962597245069	0.06	0.06	0.06
self2	SubjMan-womanB_randomA	SubjMan-womanB_randomB					1976.215	1976.08	0.7	0.745	0.805	0.745	0.986902421307	1.15442284391	0.819381998699	-0.0525	0.0	-0.105
crossAB	SubjSFOther_randomA	SubjSFOtherB_randomB					1970.34	1971.4	0.915	0.915	0.88	0.9	1.78779385637	1.79210376703	1.78348394571	0.025	0.015	0.035
self1	SubjSFOther_randomA	SubjSFOther_randomB					1970.34	1970.695	0.915	0.92	0.92	0.94	1.77590417939	1.81155077269	1.74025758609	-0.0125	-0.02	-0.005
crossBA	SubjSFOther_randomB	SubjSFOtherB_randomA					1970.695	1971.18	0.92	0.89	0.875	0.875	1.46484070629	1.38893143758	1.540749975	0.03	0.015	0.045
self2	SubjSFOtherB_randomA	SubjSFOtherB_randomB					1971.18	1971.4	0.89	0.915	0.9	0.925	1.82004301788	1.77144968509	1.86863635067	-0.01	-0.01	-0.01
crossAB	Suspense_randomA	SuspenseB_randomB					2003.12	2002.785	0.81	0.81	0.765	0.815	1.45088083382	1.37479107814	1.52697058949	0.02	-0.005	0.045
self1	Suspense_randomA	Suspense_randomB					2003.12	2003.055	0.81	0.835	0.895	0.92	1.48448913955	1.52148859958	1.44748967953	-0.085	-0.085	-0.085
crossBA	Suspense_randomB	SuspenseB_randomA					2003.055	2002.785	0.835	0.745	0.79	0.765	1.52461249226	1.4395561371	1.60966884743	0.0125	-0.02	0.045
self2	SuspenseB_randomA	SuspenseB_randomB					2002.785	2002.785	0.745	0.81	0.77	0.855	1.86266482525	1.87050452427	1.85482512623	-0.035	-0.045	-0.025
crossAB	Fantasy_randomA	FantasyB_randomB					1995.69	1992.01	0.865	0.825	0.805	0.81	1.41653091192	1.41419765894	1.41886416489	0.0375	0.015	0.06
self1	Fantasy_randomA	Fantasy_randomB					1995.69	1995.81	0.865	0.865	0.92	0.94	1.42098926621	1.43357949264	1.40839903977	-0.065	-0.075	-0.055
crossBA	Fantasy_randomB	FantasyB_randomA					1995.81	1991.95	0.865	0.84	0.825	0.825	1.25435254787	1.21058846124	1.29811663449	0.0275	0.015	0.04
self2	FantasyB_randomA	FantasyB_randomB					1991.95	1992.01	0.84	0.825	0.91	0.925	1.50041334875	1.47913091631	1.52169578118	-0.085	-0.1	-0.07
crossAB	Humor_randomA	HumorB_randomB					1990.17	1995.68	0.825	0.825	0.785	0.8	1.239609329	1.21728330115	1.26193535685	0.0325	0.025	0.04
self1	Humor_randomA	Humor_randomB					1990.17	1989.82	0.825	0.815	0.875	0.88	1.33497624849	1.33336662748	1.33658586949	-0.0575	-0.065	-0.05
crossBA	Humor_randomB	HumorB_randomA					1989.82	1993.395	0.815	0.81	0.81	0.76	1.03838018926	1.00000091412	1.07675946439	0.0275	0.05	0.005
